Reference, Value, Footprint, Datasheet
"J_PWR1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J_INPUT1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J_CALJUMPER1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J_ERASEBTN1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J_RESETBTN1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J_NUDGEBTN1","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J_LCSELECTSPDT1","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J_NANOTX1","Conn_01x15","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","~"
"J_NANOVIN1","Conn_01x15","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","~"
"R_BIAS3","4K7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R_BIAS1","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R_BIAS2","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R_SIG1","6K8","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R_OSC1","47K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C_MICA2","1nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"C_MICA1","1nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"C_BP1","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"C_COUP1","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C_OSC1","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"R3","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U_OSC1","LM311","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm311.pdf"
"L1","100uH","Inductor_THT:L_Radial_D7.8mm_P5.00mm_Fastron_07HCP","~"
"U_RLY1","TE_ReedRelay_V23100V4xxxA010","TE_Reed_Relay_V23100V4:TE_ReedRelay_V23100V4",""
"J_DK1","Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"J_DA1","Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"J_SSD1309_OLED1","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
